Id. Cliente,,Provincia
14052,01001,Álava
1000100724,01001,Álava
1000061782,01002,Álava
1000100667,01002,Álava
1000100675,01002,Álava
1000100686,01002,Álava
1000100689,01002,Álava
1000100695,01002,Álava
1000100697,01002,Álava
1000100722,01002,Álava
1000100669,01003,Álava
1000100683,01003,Álava
1000100690,01003,Álava
1000100694,01003,Álava
1000100701,01003,Álava
1000100715,01003,Álava
1000100717,01003,Álava
1000101828,01003,Álava
38625,01004,Álava
1000100663,01004,Álava
1000100684,01004,Álava
1000100703,01004,Álava
14063,01005,Álava
25096,01005,Álava
1000063247,01005,Álava
1000100664,01005,Álava
1000100668,01005,Álava
1000100671,01005,Álava
1000100685,01005,Álava
1000100699,01005,Álava
1000100720,01005,Álava
1000100910,01005,Álava
1000101132,01005,Álava
7931,01006,Álava
1000100725,01006,Álava
1000102313,01006,Álava
1000102314,01006,Álava
24601,01007,Álava
7342,01008,Álava
42359,01008,Álava
42394,01008,Álava
42483,01008,Álava
43264,01008,Álava
1000100673,01008,Álava
1000100704,01008,Álava
1000100719,01008,Álava
1000100726,01008,Álava
24468,01009,Álava
1000100714,01009,Álava
39082,01010,Álava
41445,01010,Álava
1000100672,01010,Álava
1000100680,01010,Álava
1000100706,01010,Álava
1000100728,01010,Álava
14039,01012,Álava
43193,01012,Álava
1000100681,01012,Álava
1000100698,01012,Álava
1000100705,01012,Álava
1000102374,01012,Álava
1000100723,01013,Álava
1000100662,01015,Álava
1000100692,01015,Álava
1000100727,01015,Álava
1000101238,01015,Álava
1000100708,01170,Álava
1000100693,01200,Álava
1000100711,01200,Álava
1000100679,01240,Álava
1000100713,01330,Álava
41208,01400,Álava
1000100676,01400,Álava
1000100682,01400,Álava
1000100707,01400,Álava
1000100712,01400,Álava
1000100721,01400,Álava
1000101199,01400,Álava
40843,01470,Álava
1000100702,01470,Álava
1000100718,01470,Álava
1000100967,01474,Álava
8349,02001,Albacete
9122,02001,Albacete
14017,02001,Albacete
14083,02001,Albacete
18359,02001,Albacete
21691,02001,Albacete
28873,02001,Albacete
32042,02001,Albacete
39965,02001,Albacete
1000078324,02001,Albacete
1000079225,02001,Albacete
1000080222,02001,Albacete
1000082482,02001,Albacete
1000100577,02001,Albacete
9662,02002,Albacete
14002,02002,Albacete
1000082036,02002,Albacete
21756,02002,Albacete
25219,02002,Albacete
29417,02002,Albacete
42806,02002,Albacete
1000069746,02002,Albacete
1000081309,02002,Albacete
1000081580,02002,Albacete
1000081874,02002,Albacete
1000082036,02002,Albacete
1000102391,02002,Albacete
13993,02003,Albacete
14076,02003,Albacete
20335,02003,Albacete
30651,02003,Albacete
42544,02003,Albacete
1000069654,02003,Albacete
1000070675,02003,Albacete
1000073361,02003,Albacete
1000077867,02003,Albacete
1000079945,02003,Albacete
1000080054,02003,Albacete
1000080650,02003,Albacete
1000081579,02003,Albacete
6217,02005,Albacete
9759,02005,Albacete
13991,02005,Albacete
13994,02005,Albacete
23571,02005,Albacete
23764,02005,Albacete
42980,02005,Albacete
1000078455,02005,Albacete
1000081305,02005,Albacete
1000100968,02005,Albacete
1000101637,02005,Albacete
1000082065,02006,Albacete
23388,02100,Albacete
1000102507,02110,Albacete
1000080980,02200,Albacete
7660,02400,Albacete
14078,02400,Albacete
24914,02400,Albacete
27842,02400,Albacete
36980,02400,Albacete
1000064358,02400,Albacete
1000080316,02400,Albacete
1000081065,02400,Albacete
1000081976,02400,Albacete
1000082006,02400,Albacete
1000100204,02400,Albacete
42518,02500,Albacete
1000078992,02500,Albacete
1000081063,02500,Albacete
1000082451,02510,Albacete
8428,02600,Albacete
24141,02600,Albacete
40704,02600,Albacete
1000071420,02600,Albacete
1000079668,02600,Albacete
1000100088,02610,Albacete
1000065775,02611,Albacete
1000073464,02630,Albacete
1000080797,02630,Albacete
13989,02640,Albacete
22216,02640,Albacete
33172,02640,Albacete
41635,02640,Albacete
1000069225,02640,Albacete
1000101240,02640,Albacete
1000101815,02640,Albacete
42494,02650,Albacete
17642,02660,Albacete
27623,02660,Albacete
1000081398,02660,Albacete
9948,03001,Alicante
11526,03001,Alicante
22746,03001,Alicante
28628,03001,Alicante
40442,03001,Alicante
42910,03001,Alicante
43289,03001,Alicante
1000073996,03001,Alicante
1000075253,03001,Alicante
1000080549,03001,Alicante
1000080615,03001,Alicante
1000080899,03001,Alicante
1000082026,03001,Alicante
1000100008,03001,Alicante
1000100165,03001,Alicante
1000100404,03001,Alicante
1000101198,03001,Alicante
1000101845,03001,Alicante
1000102123,03001,Alicante
1000076626,03002,Alicante
8532,03003,Alicante
10126,03003,Alicante
26657,03003,Alicante
27283,03003,Alicante
28967,03003,Alicante
36597,03003,Alicante
36847,03003,Alicante
42931,03003,Alicante
1000066196,03003,Alicante
1000073888,03003,Alicante
1000078843,03003,Alicante
1000080932,03003,Alicante
1000081150,03003,Alicante
1000081494,03003,Alicante
1000100007,03003,Alicante
1000100525,03003,Alicante
1000100931,03003,Alicante
